id,name,parent_id,street,street2,city,state_id,country_id,zip,email,customer,supplier
res_supplier_1,Radheshyam Borde,,"34, Yerwada",,Bhopal,Madhya Pradesh,India,186945,Radheshyam@example.com,no,yes
res_supplier_2,Lakshmi Akshay Chokshi,,"45, Chandpole",,Chennai,Tamil Nadu,India,370687,Lakshmi@example.com,no,yes
res_supplier_3,Uday Rao Rampersad,,"20, Deccan Gymkhana",,Bengaluru,Karnataka,India,321411,Udayrao@example.com,no,yes
res_supplier_4,Meghana Borra,,"25, KanikaPur,",,Rajkot,Gujarat,India,464783,Meghan@example.com,no,yes
res_supplier_5,Faraz Rao,,"61, Binita Heights",,Sodala Patna,Bihar,India,544122,Faraz@example.com,no,yes
res_supplier_6,Vaishali Mallick,Comfort Travel Links,"38, Yerwada,",,Mysore,Karnataka,India,358447,Vaishali@gmail.com,no,yes
res_supplier_7,Hetan Ram Gokhale,New Dynamic Systems,"51, Amrita Nagar",,Mumbai,Maharashtra,India,517314,Hetan@example.com,no,yes
res_supplier_8,Nidhi Wason,Rd Advertisers,"20, Dadar",,Kanpur,Madhya Pradesh,India,297164,Nidhi@example.com,no,yes
res_supplier_9,Siddharth Narula,Shivam Agencies,"30, Binod Apartments",SapnaGunj,Jabalpur,Madhya Pradesh,India,316905,Siddharth@example.com,no,yes
res_supplier_10,Ragini Shah,Marvel Tour Service,"50, Rupesh Villas",Gajendra Chowk,Baroda,Gujarat,India,420229,Ragini@example.com,no,yes
res_supplier_11,Ankita Habib,Master Jivanlal & Sons,203 Aditya complex,,Surat,Gujarat,India,394305,Ankita@example.com,no,yes
res_supplier_12,"Teena Cherian
",Lucent Co.,"40, Chandpole",,Chennai,Tamil Nadu,India,370666,Teena@example.com,no,yes
res_supplier_13,Gaurav Singh,Renaissance Travel Club,"90, Manoj Apartments",,Ludhiana,Punjab,India,315807,Gaurav@example.com,no,yes
res_supplier_14,"Komal Kamlesh Pradhan
",Karvy Consultants Limited,"93, Sodala",,Lucknow,Uttar Pradesh,India,173577,Komal@example.com,no,yes
res_supplier_15,Bharat Bhai Kata,Lufthansa Airlines,"36, Falguni Society",Hinjewadi,Jamnagar,Gujarat,India,390863,Bharat@example.com,no,yes
res_supplier_16,Abhinav Bhatt,,"37, Aayushman Heights",Baalkrishan Nagar,Kolkata,West Bengal,India,127136,Abhinav@example.com,no,yes
res_supplier_17,Namita Rajesh,,"22, Emran Villas,",Deccan Gymkhana,Nagpur,Maharashtra,India,579448,namita@example.com,no,yes
res_supplier_18,Harpreet Kumar,,"95, Abdul Villas,",Natwar Chowk ,Darjeeling,West Bengal,India,734101,harpreet@example.com,no,yes
res_supplier_19,Bijoy Dev,,"19, Andheri",,Bhopal,Madhya Pradesh,India,326573,bijoy@example.com,no,yes
res_supplier_20,Ankita Bumb,,"42, Raghavan Chowk",,Hisar,Haryana,India,231526,Ankita@example.com,no,yes
