id,employee_id:id,name,date_start,date_end,line_type_id:id,description
employee_resume_ngh_armidale_city_public_school,hr.employee_ngh,ArmidaleCityPublicSchool,1994-11-19,1997-02-18,resume_type_education,
employee_resume_ngh_craigmore_south_junior_primary_school,hr.employee_ngh,CraigmoreSouthJuniorPrimarySchool,1993-05-11,1994-08-24,resume_type_education,
employee_resume_ngh_stanleymendez,hr.employee_ngh,Stanley-Mendez,1993-12-12,1994-05-11,resume_type_experience,Glassblower/designer
employee_resume_ngh_jackson_schwartz_and_aguirre,hr.employee_ngh,"Jackson,SchwartzandAguirre",1995-04-12,1997-07-12,resume_type_experience,Analyticalchemist
employee_resume_vad_wycheproof_p12_college,hr.employee_vad,WycheproofP-12College,1999-06-02,2000-12-01,resume_type_education,
employee_resume_vad_christian_outreach_college,hr.employee_vad,ChristianOutreachCollege,1996-08-02,1999-02-01,resume_type_education,
employee_resume_vad_thomas_chirnside_primary_school,hr.employee_vad,ThomasChirnsidePrimarySchool,1995-05-05,1996-07-27,resume_type_education,
employee_resume_vad_loganmartin,hr.employee_vad,Logan-Martin,1996-04-04,1997-07-05,resume_type_experience,Petroleumengineer
employee_resume_vad_gallegos_little_and_walters,hr.employee_vad,"Gallegos,LittleandWalters",1996-12-02,1997-08-05,resume_type_experience,"Lecturer,highereducation"
employee_resume_han_king_island_district_high_school,hr.employee_han,KingIslandDistrictHighSchool,2014-08-17,2016-05-06,resume_type_education,
employee_resume_han_elphinstone_primary_school,hr.employee_han,ElphinstonePrimarySchool,2013-07-18,2014-07-29,resume_type_education,
employee_resume_han_william_light_r12_school,hr.employee_han,WilliamLightR-12School,2011-01-29,2013-03-30,resume_type_education,
employee_resume_han_davis_plc,hr.employee_han,DavisPLC,2012-10-30,2013-08-29,resume_type_experience,"Engineer,production"
employee_resume_han_perezmorgan,hr.employee_han,Perez-Morgan,2013-05-01,,resume_type_experience,Geoscientist
employee_resume_jve_ellinbank_primary_school,hr.employee_jve,EllinbankPrimarySchool,2003-02-16,2004-05-18,resume_type_education,
employee_resume_jve_talbot_primary_school,hr.employee_jve,TalbotPrimarySchool,2002-07-01,2003-02-09,resume_type_education,
employee_resume_jve_saundersadkins,hr.employee_jve,Saunders-Adkins,2003-07-01,,resume_type_experience,Jewellerydesigner
employee_resume_jve_davis_and_sons,hr.employee_jve,DavisandSons,2004-12-28,2006-07-01,resume_type_experience,Healthphysicist
employee_resume_jve_arnoldcohen,hr.employee_jve,Arnold-Cohen,2003-12-29,,resume_type_experience,Personnelofficer
employee_resume_jep_lawson_public_school,hr.employee_jep,LawsonPublicSchool,1998-06-07,2000-02-17,resume_type_education,
employee_resume_jep_trinity_college,hr.employee_jep,TrinityCollege,1995-08-21,1998-04-10,resume_type_education,
employee_resume_jep_woodend_primary_school,hr.employee_jep,WoodendPrimarySchool,1992-11-22,1995-05-05,resume_type_education,
employee_resume_jep_mcneil_rodriguez_and_warren,hr.employee_jep,"Mcneil,RodriguezandWarren",1994-11-22,1996-01-22,resume_type_experience,Sub
employee_resume_jep_davis_sanchez_and_miller,hr.employee_jep,"Davis,SanchezandMiller",1996-05-25,1997-11-22,resume_type_experience,Customerservicemanager
employee_resume_jep_cole_ltd,hr.employee_jep,ColeLtd,1994-02-22,,resume_type_experience,Fastfoodrestaurantmanager
employee_resume_jep_garcia_and_sons,hr.employee_jep,GarciaandSons,1998-07-25,1999-12-23,resume_type_experience,Careersinformationofficer
employee_resume_jod_umbakumba_school,hr.employee_jod,UmbakumbaSchool,2009-11-08,2010-09-30,resume_type_education,
employee_resume_jod_wilson_ltd,hr.employee_jod,WilsonLtd,2011-02-07,2012-01-08,resume_type_experience,Tradeunionresearchofficer
employee_resume_jog_port_curtis_road_state_school,hr.employee_jog,PortCurtisRoadStateSchool,2005-04-10,2006-09-30,resume_type_education,
employee_resume_jog_claremont_college,hr.employee_jog,ClaremontCollege,2004-01-12,2005-03-10,resume_type_education,
employee_resume_jog_mandurah_catholic_college,hr.employee_jog,MandurahCatholicCollege,2003-02-08,2003-09-28,resume_type_education,
employee_resume_jog_douglas_thompson_and_conner,hr.employee_jog,"Douglas,ThompsonandConner",2004-01-10,,resume_type_experience,Musictherapist
employee_resume_jog_allenkeller,hr.employee_jog,Allen-Keller,2005-07-09,2007-03-11,resume_type_experience,Lexicographer
employee_resume_jgo_tottenham_central_school,hr.employee_jgo,TottenhamCentralSchool,2001-04-13,2002-09-06,resume_type_education,
employee_resume_jgo_galilee_catholic_school,hr.employee_jgo,GalileeCatholicSchool,2000-08-07,2001-02-16,resume_type_education,
employee_resume_jgo_martin_stanley_and_duncan,hr.employee_jgo,"Martin,StanleyandDuncan",2001-05-07,,resume_type_experience,ITtechnicalsupportofficer
employee_resume_jgo_fox_and_sons,hr.employee_jgo,FoxandSons,2003-03-07,2005-10-05,resume_type_experience,Merchantnavyofficer
employee_resume_lur_holy_family_primary_school,hr.employee_lur,HolyFamilyPrimarySchool,2009-07-16,2012-07-23,resume_type_education,
employee_resume_lur_lindenow_primary_school,hr.employee_lur,LindenowPrimarySchool,2007-07-08,2009-07-16,resume_type_education,
employee_resume_lur_narrogin_primary_school,hr.employee_lur,NarroginPrimarySchool,2005-12-14,2007-06-10,resume_type_education,
employee_resume_lur_ramirez_inc,hr.employee_lur,RamirezInc,2006-11-13,,resume_type_experience,Glassblower/designer
employee_resume_lur_whitebell,hr.employee_lur,White-Bell,2006-04-15,2006-07-13,resume_type_experience,Sportscoach
employee_resume_hne_st_peters_parish_primary_school,hr.employee_hne,StPeter'sParishPrimarySchool,2008-05-18,2008-11-17,resume_type_education,
employee_resume_hne_dandenong_north_primary_school,hr.employee_hne,DandenongNorthPrimarySchool,2005-07-20,2008-02-15,resume_type_education,
employee_resume_hne_nortonsilva,hr.employee_hne,Norton-Silva,2007-05-21,2009-09-19,resume_type_experience,"Horticulturist,commercial"
